"nama","type","latitude","longitude"
"Warung pisang Gapit","Restaurant",-2.521507,112.968045
"Warung terapung pisang gapit","Restaurant",-2.521463,112.967875
"Warung Pencok LINA","Restaurant",-2.52083,112.968474
"D'Layar Resto SAMPIT","Restaurant",-2.518627,112.970164
"Rumah makan batu mandi sampit kotawaringin timur","Restaurant",-2.518115,112.97021
"RM. Jolodong Ikan Bakar","Restaurant",-2.518024,112.970451
"RM BATU MANDI","Restaurant",-2.517922,112.970247
"Warung Makan Jolodong","Restaurant",-2.517863,112.970529
"Dapur acil Titin","Restaurant",-2.517166,112.971028
"Ayam Bakar Wong Solo","Restaurant",-2.539433,112.957959
"Mie Ayam Jakarta","Restaurant",-2.540124,112.958722
"Rujak Sampit(Bengawan Solo)","Restaurant",-2.540931,112.959649
"Bakso lima rasa","Restaurant",-2.540537,112.958726
"Sate Kambing Midajaya","Restaurant",-2.540869,112.9583
"Rasio Kopi","Restaurant",-2.540848,112.957487
"Warung Makan Mama Cici","Restaurant",-2.54096,112.95814
"Sate Kambing Midajaya","Restaurant",-2.540909,112.958296
"So galbi","Restaurant",-2.540709,112.957587
"Rumah Makan SAKATO Masakan Padang","Restaurant",-2.542299,112.949543
"dapur putsal","Restaurant",-2.543093,112.950983
"Nasi Kuning Amang Halim","Restaurant",-2.544267929226565,112.95408272614311
"Warung makan alin","Restaurant",-2.544267929226565,112.95408272614311
"Pondok Jelawat Resto","Restaurant",-2.540166,112.961354
"Bakso & Mie Ayam Batok Sampit","Restaurant",-2.540166,112.961354
"Warung makan khas jawa","Restaurant",-2.537921,112.957334
