"nama","type","latitude","longitude"
"LABORATORIUM KLINIK NEO-SIGMA","Rumah sakit",-2.541095,112.959524
"Klinik Bhayangkara Polres Kotim","Rumah sakit",-2.540657,112.958709
"Klinik Sari Medika","Rumah sakit",-2.543569,112.961952
"Laboratorium Klinik Prodia Cab.Sampit","Rumah sakit",-2.545325,112.960603
"Klinik Metta Husada","Rumah sakit",-2.545044,112.956869
"Praktek Dokter Gigi drg. Trias Leonita","Rumah sakit",-2.542472,112.950145
"Dr. Murjani General Hospital","Rumah sakit",-2.542768,112.949042
"Apotik Rawat Jalan RSUD Dr. Murjani","Rumah sakit",-2.542613,112.948994
"Klinik kimia farma HM arsyad sampit","Rumah sakit",-2.540794,112.949405
"KLINIK UTAMA SERIBU DAHAN","Rumah sakit",-2.537562,112.943022
"Klinik My Aesthetic Center Sampit","Rumah sakit",-2.541228,112.950667
"Puskesmas Baamang I","Rumah sakit",-2.532546,112.96357
"Klinik Dr.deni","Rumah sakit",-2.530615,112.956237
"Klinik Kesusteran","Rumah sakit",-2.533283,112.949986
"Praktek Umum dr.Hardi Adiyatma","Rumah sakit",-2.540785,112.95842
